code,name,first_buy_price,first_order,first_order_completed,check_date,check_volume,last_order,last_price,betting_seed,buy_date,waiting_period,stop_los_th,trade_completed,sell,stop_loss,auto_sell,auto_loss,sell_price,sell_date,profit,income,balance,total_balance,order_cnt,max_order,over_cnt,stop_loss_th
24060,¿¿¿¿,6310,,,20230907,18739486,,,,,,,,,,,,,,,,,,,,,4965
52790,¿¿¿¿¿¿,6920,,,20230908,1640771,,,,,,,,,,,,,,,,,,,,,6300
32500,¿¿¿¿¿¿,11770,,,20230913,2342106,,,,,,,,,,,,,,,,,,,,,10620
32080,¿¿¿WB,1726,,,20230914,3806579,,,,,,,,,,,,,,,,,,,,,1608
52400,¿¿¿¿,20450,,,20230919,1222764,,,,,,,,,,,,,,,,,,,,,15900
68240,¿¿¿¿,16800,,,20230921,17346623,,,,,,,,,,,,,,,,,,,,,14390
123420,¿¿¿¿¿¿¿,9380,,,20230921,2141941,,,,,,,,,,,,,,,,,,,,,7660
131370,¿¿¿¿,3585,,,20230925,9953037,,,,,,,,,,,,,,,,,,,,,3050
47080,¿¿¿¿¿,2280,,,20231004,3867178,,,,,,,,,,,,,,,,,,,,,2070
89150,¿¿¿¿,3190,,,20231004,10383561,,,,,,,,,,,,,,,,,,,,,2695
290090,¿¿,12390,,,20231006,474588,,,,,,,,,,,,,,,,,,,,,10760
189690,¿¿¿¿,2385,,,20231011,22624878,,,,,,,,,,,,,,,,,,,,,2050
238120,¿¿¿¿,9260,,,20231012,6543090,,,,,,,,,,,,,,,,,,,,,8050
270870,¿¿¿,6200,,,20231013,791141,,,,,,,,,,,,,,,,,,,,,5760
12700,¿¿¿¿,5520,,,20231019,2063404,,,,,,,,,,,,,,,,,,,,,5220
36090,¿¿¿,820,,,20231024,61732246,,,,,,,,,,,,,,,,,,,,,594
64260,¿¿,3660,,,20231024,12098045,,,,,,,,,,,,,,,,,,,,,3125
11040,¿¿¿¿,6830,,,20231025,1013540,,,,,,,,,,,,,,,,,,,,,6330
54050,¿¿¿¿¿,8340,,,20231025,5194648,,,,,,,,,,,,,,,,,,,,,7710
200780,¿¿¿¿¿¿,6350,,,20231025,541114,,,,,,,,,,,,,,,,,,,,,6030
166480,¿¿¿¿¿¿,5940,,,20231103,1330226,,,,,,,,,,,,,,,,,,,,,5300
6620,¿¿¿¿¿¿¿,5410,,,20231107,6261578,,,,,,,,,,,,,,,,,,,,,4755
